time, Quad.IMU.AX
0.005000,0.552092
0.010000,0.073909
0.015000,0.523315
0.020000,-0.426592
0.025000,0.915904
0.030000,-0.297074
0.035000,0.181217
0.040000,-0.571192
0.045000,0.307555
0.050000,-1.088285
0.055000,-0.002332
0.060000,0.407450
0.065000,-0.803956
0.070000,0.971134
0.075000,0.592924
0.080000,0.170760
0.085000,0.486013
0.090000,0.755049
0.095000,-0.053068
0.100000,0.817862
0.105000,1.033550
0.110000,0.294259
0.115000,0.032078
0.120000,-0.164990
0.125000,-0.115939
0.130000,-1.018196
0.135000,-0.069081
0.140000,0.071047
0.145000,0.425625
0.150000,0.267364
0.155000,-0.589688
0.160000,0.461889
0.165000,-0.052512
0.170000,0.336582
0.175000,0.902043
0.180000,0.078202
0.185000,-0.636457
0.190000,-0.670944
0.195000,-0.018583
0.200000,0.698154
0.205000,-0.662151
0.210000,-0.497746
0.215000,0.157575
0.220000,-0.741858
0.225000,-0.181623
0.230000,0.085926
0.235000,-0.291326
0.240000,-0.241781
0.245000,-0.526558
0.250000,-0.071749
0.255000,-0.680664
0.260000,0.199505
0.265000,-0.267096
0.270000,-0.409414
0.275000,-0.510969
0.280000,0.083523
0.285000,0.244371
0.290000,-0.528430
0.295000,-0.292439
0.300000,-0.038374
0.305000,-0.318104
0.310000,0.595536
0.314999,-0.023022
0.319999,0.529055
0.324999,0.518739
0.329999,0.593786
0.334999,-0.111314
0.339999,-0.268622
0.344999,-0.040089
0.349999,-0.618173
0.354999,-0.193535
0.359999,0.133568
0.364999,0.514377
0.369999,1.170812
0.374999,0.275517
0.379999,-0.165147
0.384999,-0.615785
0.389999,0.297396
0.394998,0.183547
0.399998,-0.013715
0.404998,-0.823547
0.409998,0.237754
0.414998,-0.229510
0.419998,0.432112
0.424998,0.087550
0.429998,-0.556311
0.434998,-0.339475
0.439998,-0.231163
0.444998,0.035859
0.449998,-1.005264
0.454998,-1.231478
0.459998,0.024519
0.464998,0.347544
0.469997,-0.573518
0.474997,-0.513333
0.479997,0.881910
0.484997,0.187848
0.489997,-0.625645
0.494997,-0.129056
0.499997,-0.283343
0.504997,0.311736
0.509997,-0.399182
0.514997,0.205901
0.519997,-0.118035
0.524997,-0.007101
0.529997,-0.653807
0.534997,0.074488
0.539997,0.368180
0.544997,0.178042
0.549996,-0.631387
0.554996,0.044713
0.559996,-0.504335
0.564996,0.382976
0.569996,-0.885546
0.574996,-0.053653
0.579996,-0.081804
0.584996,-0.063625
0.589996,0.360878
0.594996,0.433011
0.599996,-0.974501
0.604996,0.055812
0.609996,-0.305836
0.614996,0.098282
0.619996,0.350185
0.624996,-0.270733
0.629995,0.493251
0.634995,0.078609
0.639995,-1.079595
0.644995,-0.120601
0.649995,0.287845
0.654995,0.601936
0.659995,-0.101478
0.664995,0.557417
0.669995,0.034185
0.674995,0.171471
0.679995,-0.621638
0.684995,0.041089
0.689995,0.011372
0.694995,0.576101
0.699995,0.575004
0.704994,-0.228005
0.709994,0.625163
0.714994,-0.259381
0.719994,-0.029802
0.724994,0.737207
0.729994,0.019751
0.734994,0.599332
0.739994,-0.701832
0.744994,0.604880
0.749994,-0.059253
0.754994,-0.215912
0.759994,0.238622
0.764994,0.410568
0.769994,-0.465772
0.774994,0.744266
0.779994,-0.076861
0.784993,-0.102771
0.789993,0.567074
0.794993,-0.906916
0.799993,-0.092457
0.804993,0.173432
0.809993,-0.363219
0.814993,-0.209641
0.819993,-0.158615
0.824993,0.464604
0.829993,0.072232
0.834993,0.314213
0.839993,0.060486
0.844993,0.637206
0.849993,-0.078248
0.854993,-0.100723
0.859993,-0.339498
0.864992,-0.160146
0.869992,-0.462855
0.874992,0.120156
0.879992,-0.084314
0.884992,-0.384506
0.889992,-0.664239
0.894992,-0.694751
0.899992,0.477460
0.904992,-0.014562
0.909992,0.194207
0.914992,-0.328991
0.919992,-0.371694
0.924992,-0.260096
0.929992,0.471675
0.934992,-0.446893
0.939991,0.300680
0.944991,-0.239670
0.949991,1.250754
0.954991,-0.664289
0.959991,0.476280
0.964991,1.180588
0.969991,-0.740635
0.974991,0.951733
0.979991,-0.698469
0.984991,0.159122
0.989991,0.613457
0.994991,-0.631159
0.999991,0.221229
1.004991,0.123778
1.009991,-0.023346
1.014991,0.906452
1.019992,0.577091
1.024992,-0.120158
1.029992,-0.709943
1.034992,-0.017091
1.039993,-0.033921
1.044993,-0.074973
1.049993,0.690730
1.054993,-0.094236
1.059994,-0.175937
1.064994,-0.077444
1.069994,-0.306393
1.074994,-0.187332
1.079994,0.543686
1.084995,0.103402
1.089995,-0.142994
1.094995,-0.115816
1.099995,0.447131
1.104996,-0.149212
1.109996,0.502065
1.114996,-0.266946
1.119996,-0.125285
1.124997,-0.346994
1.129997,-0.794526
1.134997,0.368975
1.139997,0.170568
1.144997,-0.309221
1.149998,1.044993
1.154998,0.407815
1.159998,0.015906
1.164998,-0.355851
1.169999,-0.112264
1.174999,0.470878
1.179999,0.272835
1.184999,-0.449977
1.190000,-0.419233
1.195000,-0.019161
1.200000,-0.147575
1.205000,0.095902
1.210001,0.120956
1.215001,-0.171409
1.220001,-0.797099
1.225001,0.741212
1.230001,0.046078
1.235002,-0.437626
1.240002,-0.511838
1.245002,-0.221615
1.250002,-1.006891
1.255003,0.271021
1.260003,0.929938
1.265003,-0.348241
1.270003,-0.048428
1.275004,0.512485
1.280004,0.444690
1.285004,0.288140
1.290004,-0.904548
1.295004,0.103146
1.300005,0.233021
1.305005,0.060751
1.310005,-0.526368
1.315005,0.059222
1.320006,-0.155073
1.325006,0.383230
1.330006,0.033484
1.335006,-0.239688
1.340007,0.258269
1.345007,-0.405954
1.350007,0.140373
1.355007,-0.718251
1.360008,-0.221183
1.365008,-0.153005
1.370008,-0.281510
1.375008,1.218175
1.380008,-0.567008
1.385009,0.223841
1.390009,-0.127034
1.395009,0.187943
1.400009,-0.006134
