time, Quad.GPS.X
0.105000,-0.372324
0.205000,0.639956
0.305000,-0.736654
0.404998,0.869331
0.504997,0.180233
0.604996,-0.945275
0.704994,0.887798
0.804993,-0.259929
0.904992,-0.450602
1.004991,-1.571667
1.104996,-0.470618
1.205000,-0.521858
1.305005,0.253483
1.405010,0.472233
1.505014,-0.728099
1.605019,-0.304070
1.705024,0.691278
1.805028,0.977024
1.905033,-0.720053
2.005037,0.025998
2.105030,-0.246389
2.205023,0.657860
2.305015,0.154370
2.405008,0.268391
2.505001,-1.340609
2.604994,-0.122086
2.704986,-0.281369
2.804979,-0.170346
2.904972,-0.305989
3.004965,0.506082
3.104957,-1.532599
3.204950,0.509901
3.304943,-0.526665
3.404936,0.039940
3.504928,0.415637
3.604921,-0.276872
3.704914,0.223406
3.804907,-0.660114
3.904899,-0.184384
4.004892,-1.156856
4.104885,1.426376
4.204878,-0.401297
4.304871,-0.634512
4.404863,-0.234843
4.504856,0.091153
4.604849,1.096402
4.704842,0.314607
4.804834,-0.530279
4.904827,0.161575
5.004820,0.271903
5.104813,-1.176509
5.204805,0.267449
5.304798,0.532965
5.404791,-0.653483
5.504784,-1.063416
5.604776,-2.137361
5.704769,0.068095
5.804762,0.178642
5.904755,0.850459
6.004747,0.551137
6.104740,1.033314
6.204733,-0.650254
6.304726,0.149011
6.404718,0.224787
6.504711,0.974561
6.604704,0.350344
6.704697,-0.937469
6.804689,0.863411
6.904682,0.311659
7.004675,-0.503549
7.104668,-0.247144
7.204660,0.239422
7.304653,1.086385
7.404646,-0.123454
7.504639,-0.330282
7.604631,1.467862
7.704624,-0.626477
7.804617,0.346229
7.904610,-0.379346
8.004604,0.786873
8.104645,0.709844
8.204685,-1.638820
8.304726,0.264004
8.404766,-0.190326
8.504807,-0.217643
8.604847,-0.484825
8.704887,-0.119107
8.804928,0.564842
8.904968,0.823843
9.005009,-0.290069
9.105049,1.140486
9.205090,1.185278
9.305130,-0.568177
9.405170,-0.266000
9.505211,-0.171693
9.605251,0.700688
9.705292,0.984311
9.805332,0.266846
9.905373,0.456141
